BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2010;42.2;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2011;41.8;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2012;41.9;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2013;42.2;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2014;42.6;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2015;42.4;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2016;42.9;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2017;43.9;Jahre;Jahre;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1990;195;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1991;210;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1992;206;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1993;222;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1994;259;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1995;258;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1996;266;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1997;277;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1998;287;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1999;309;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2000;320;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2001;315;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2002;324;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2003;343;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2004;368;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2005;393;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2006;417;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2007;475;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2008;493;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2009;547;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2010;605;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2011;665;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2012;689;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2013;708;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2014;726;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2015;761;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2016;761;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2017;764;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Haushalte;449;Durchschnittliche Haushaltsgrösse [Pers.];2013;2.43;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Haushalte;449;Durchschnittliche Haushaltsgrösse [Pers.];2014;2.44;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Haushalte;449;Durchschnittliche Haushaltsgrösse [Pers.];2015;2.44;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Haushalte;449;Durchschnittliche Haushaltsgrösse [Pers.];2016;2.42;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Haushalte;449;Durchschnittliche Haushaltsgrösse [Pers.];2017;2.38;Pers.;Personen;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2007;1.9;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2008;1.9;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2009;1.2;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2010;0.9;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2011;0.7;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2012;0.8;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2013;0.6;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2014;0.6;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Soziales;Bedarfsabhängige Sozialleistungen;541;Sozialhilfequote [%];2015;0.8;%;Prozent;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];1999;47700;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2000;50000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2001;53100;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2002;54300;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2003;52100;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2004;54300;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2005;56600;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2006;58200;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2007;56700;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2008;60000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2009;59100;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2010;57100;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2011;59200;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2012;60300;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2013;58600;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2014;59700;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Einkommen;316;Steuerb. Einkommen natürl. Pers. Median [Fr.];2015;57700;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2003;82000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2004;80000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2005;93000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2006;113000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2007;113000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2008;111000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2009;145000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2010;158000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2011;120000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2012;126000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2013;143000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2014;149000;Fr.;Franken;
1;Aeugst a.A.;Bevölkerung und Soziales;Einkommen und Vermögen;Steuerbares Vermögen;320;Steuerb. Vermögen natürl. Pers. Median [Fr.];2015;142000;Fr.;Franken;
1;Aeugst a.A.;Arbeit und Unternehmen;Arbeitslosigkeit;Arbeitslosigkeit;380;Arbeitslosenanteil an Bevölkerung 15-64 Jahre [%];2011;1.4;%;Prozent;
1;Aeugst a.A.;Arbeit und Unternehmen;Arbeitslosigkeit;Arbeitslosigkeit;380;Arbeitslosenanteil an Bevölkerung 15-64 Jahre [%];2012;1.3;%;Prozent;
1;Aeugst a.A.;Arbeit und Unternehmen;Arbeitslosigkeit;Arbeitslosigkeit;380;Arbeitslosenanteil an Bevölkerung 15-64 Jahre [%];2013;1.8;%;Prozent;
1;Aeugst a.A.;Arbeit und Unternehmen;Arbeitslosigkeit;Arbeitslosigkeit;380;Arbeitslosenanteil an Bevölkerung 15-64 Jahre [%];2014;1.3;%;Prozent;
1;Aeugst a.A.;Arbeit und Unternehmen;Arbeitslosigkeit;Arbeitslosigkeit;380;Arbeitslosenanteil an Bevölkerung 15-64 Jahre [%];2015;1.8;%;Prozent;
1;Aeugst a.A.;Arbeit und Unternehmen;Arbeitslosigkeit;Arbeitslosigkeit;380;Arbeitslosenanteil an Bevölkerung 15-64 Jahre [%];2016;1.5;%;Prozent;
1;Aeugst a.A.;Arbeit und Unternehmen;Arbeitslosigkeit;Arbeitslosigkeit;380;Arbeitslosenanteil an Bevölkerung 15-64 Jahre [%];2017;2.2;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];1998;18.4;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];1999;18.7;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2000;18.7;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2001;19.4;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2002;19.6;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2003;19.8;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2004;20.5;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2005;21.2;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2006;21.3;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2007;22.4;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2008;23.0;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2009;23.6;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2010;23.9;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2011;24.6;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2012;25.3;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2013;26.0;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2014;26.7;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2015;27.4;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2016;28.1;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;95;Altersquotient [%];2017;28.9;%;Prozent;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2009;40.2;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2010;40.2;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2011;40.5;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2012;40.8;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2013;41.1;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2014;41.4;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2015;41.7;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2016;41.6;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Altersstruktur;809;Bevölkerung: Durchschnittsalter [Jahre];2017;41.7;Jahre;Jahre;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1990;1293;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1991;1406;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1992;1579;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1993;1597;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1994;1735;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1995;1830;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1996;2012;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1997;2099;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1998;2174;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];1999;2383;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2000;2585;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2001;2704;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2002;2843;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2003;2982;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2004;3061;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2005;3196;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2006;3379;Pers.;Personen;
2;Affoltern a.A.;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Konfession;408;Bevölkerung: übrige/andere/ohne Konfession [Pers.];2007;3530;Pers.;Personen;
